LineID,	 Timestamp,		 ParticipantID,	 Repetition,	 Condition,	 PulseWidth,	 Frequency,	 Intensity,	 Granularity

0,	 16:51 29/3/2018,	 3,		 0,		 0,		 500,		 100,		 0.5,		 0.5
1,	 16:51 29/3/2018,	 3,		 0,		 1,		 2000,		 10,		 0.5,		 0.5
2,	 16:51 29/3/2018,	 3,		 0,		 2,		 1000,		 220,		 0.5,		 0.5
3,	 16:51 29/3/2018,	 3,		 0,		 3,		 500,		 10,		 0.5,		 0.5
4,	 16:51 29/3/2018,	 3,		 0,		 4,		 500,		 220,		 0.5,		 0.5
5,	 16:51 29/3/2018,	 3,		 0,		 5,		 2000,		 40,		 0.5,		 0.5
6,	 16:51 29/3/2018,	 3,		 0,		 6,		 500,		 40,		 0.5,		 0.5
7,	 16:51 29/3/2018,	 3,		 0,		 7,		 2000,		 100,		 0.5,		 0.5
8,	 16:51 29/3/2018,	 3,		 0,		 5,		 2000,		 40,		 0.5,		 0.5
9,	 16:51 29/3/2018,	 3,		 0,		 6,		 500,		 40,		 0.5,		 0.5
10,	 16:51 29/3/2018,	 3,		 0,		 7,		 2000,		 100,		 0.5,		 0.5
11,	 16:51 29/3/2018,	 3,		 0,		 8,		 1500,		 40,		 0.5,		 0.5
12,	 16:51 29/3/2018,	 3,		 0,		 9,		 1500,		 100,		 0.5,		 0.5
13,	 16:51 29/3/2018,	 3,		 0,		 10,		 2000,		 220,		 0.5,		 0.5
14,	 16:51 29/3/2018,	 3,		 0,		 11,		 1500,		 10,		 0.5,		 0.5
15,	 16:51 29/3/2018,	 3,		 0,		 12,		 1000,		 100,		 0.5,		 0.5
16,	 16:51 29/3/2018,	 3,		 0,		 13,		 1000,		 40,		 0.5,		 0.5
17,	 16:51 29/3/2018,	 3,		 0,		 14,		 1000,		 10,		 0.5,		 0.5
18,	 16:51 29/3/2018,	 3,		 0,		 15,		 1500,		 220,		 0.5,		 0.5
19,	 16:51 29/3/2018,	 3,		 1,		 0,		 1500,		 100,		 0.5,		 0.5
20,	 16:51 29/3/2018,	 3,		 1,		 1,		 2000,		 100,		 0.5,		 0.5
21,	 16:51 29/3/2018,	 3,		 1,		 2,		 500,		 220,		 0.5,		 0.5
22,	 16:51 29/3/2018,	 3,		 1,		 3,		 500,		 10,		 0.5,		 0.5
23,	 16:51 29/3/2018,	 3,		 1,		 4,		 1000,		 220,		 0.5,		 0.5
